event_id,session_id,user_id,event_type,product_id,quantity,timestamp,region,device,campaign_source
E00000000,S00000000,U000253,visit,,,2024-12-29 15:56:00,Central,desktop,email
E00000001,S00000000,U000253,add_to_cart,P00052,3.0,2024-12-29 16:13:00,Central,desktop,email
E00000002,S00000000,U000253,add_to_cart,P00099,1.0,2024-12-29 16:19:00,Central,desktop,email
E00000003,S00000000,U000253,add_to_cart,P00035,2.0,2024-12-29 16:07:00,Central,desktop,email
E00000004,S00000001,U000403,visit,,,2024-10-09 08:34:00,North,desktop,facebook
E00000005,S00000002,U000253,visit,,,2024-12-14 16:07:00,North,mobile,facebook
E00000006,S00000003,U000160,visit,,,2024-10-18 13:17:00,Central,mobile,organic
E00000007,S00000003,U000160,add_to_cart,P00069,3.0,2024-10-18 13:34:00,Central,mobile,organic
E00000008,S00000003,U000160,add_to_cart,P00087,2.0,2024-10-18 13:27:00,Central,mobile,organic
E00000009,S00000003,U000160,add_to_cart,P00078,1.0,2024-10-18 13:28:00,Central,mobile,organic
E00000010,S00000004,U000469,visit,,,2024-12-06 16:32:00,Central,mobile,google
E00000011,S00000005,U000480,visit,,,2024-10-08 01:20:00,Central,mobile,google
E00000012,S00000006,U000157,visit,,,2024-10-04 02:48:00,Central,tablet,email
E00000013,S00000006,U000157,signup,,,2024-10-04 02:50:00,Central,tablet,email
E00000014,S00000007,U000098,visit,,,2024-11-06 23:28:00,West,tablet,organic
E00000015,S00000008,U000734,visit,,,2024-12-24 22:32:00,East,desktop,facebook
E00000016,S00000008,U000734,signup,,,2024-12-24 22:33:00,East,desktop,facebook
E00000017,S00000008,U000734,add_to_cart,P00009,3.0,2024-12-24 22:56:00,East,desktop,facebook
E00000018,S00000008,U000734,add_to_cart,P00090,3.0,2024-12-24 22:44:00,East,desktop,facebook
E00000019,S00000009,U000784,visit,,,2024-11-01 14:21:00,North,desktop,facebook
E00000020,S00000009,U000784,add_to_cart,P00099,2.0,2024-11-01 14:32:00,North,desktop,facebook
