session_id,user_id,session_start,device,region,campaign_source,is_signup,add_to_cart,cart_items,purchase,purchase_items
S00000000,U000253,2024-12-29 15:56:00,desktop,Central,email,False,True,3,False,0
S00000001,U000403,2024-10-09 08:34:00,desktop,North,facebook,False,False,0,False,0
S00000002,U000253,2024-12-14 16:07:00,mobile,North,facebook,False,False,0,False,0
S00000003,U000160,2024-10-18 13:17:00,mobile,Central,organic,False,True,3,False,0
S00000004,U000469,2024-12-06 16:32:00,mobile,Central,google,False,False,0,False,0
S00000005,U000480,2024-10-08 01:20:00,mobile,Central,google,False,False,0,False,0
S00000006,U000157,2024-10-04 02:48:00,tablet,Central,email,True,False,0,False,0
S00000007,U000098,2024-11-06 23:28:00,tablet,West,organic,False,False,0,False,0
S00000008,U000734,2024-12-24 22:32:00,desktop,East,facebook,True,True,2,False,0
S00000009,U000784,2024-11-01 14:21:00,desktop,North,facebook,False,True,3,True,1
S00000010,U000524,2024-11-11 22:25:00,mobile,North,facebook,False,False,0,False,0
S00000011,U000470,2024-10-20 00:07:00,mobile,South,organic,False,False,0,False,0
S00000012,U000124,2024-12-26 21:50:00,desktop,South,organic,False,False,0,False,0
S00000013,U000612,2024-11-21 09:05:00,desktop,Central,organic,True,False,0,False,0
S00000014,U000655,2024-10-05 06:03:00,tablet,West,facebook,False,True,3,True,1
S00000015,U000790,2024-12-02 18:27:00,mobile,West,google,False,True,2,True,2
S00000016,U000236,2024-10-01 14:33:00,mobile,Central,facebook,True,True,3,True,1
S00000017,U000696,2024-10-22 22:02:00,mobile,West,organic,True,True,1,False,0
S00000018,U000550,2024-12-01 19:04:00,mobile,Central,google,False,True,2,True,2
S00000019,U000607,2024-12-08 03:33:00,desktop,Central,facebook,True,True,3,False,0
S00000020,U000663,2024-10-02 16:27:00,desktop,East,facebook,False,False,0,False,0
S00000021,U000042,2024-11-02 18:42:00,mobile,Central,organic,False,True,2,False,0
S00000022,U000601,2024-10-02 18:49:00,mobile,East,organic,False,True,2,True,1
S00000023,U000675,2024-12-14 23:35:00,mobile,North,facebook,False,False,0,False,0
S00000024,U000662,2024-11-18 02:47:00,tablet,Central,organic,True,True,3,False,0
S00000025,U000595,2024-10-13 22:24:00,desktop,Central,email,True,True,1,True,2
S00000026,U000383,2024-10-12 08:18:00,mobile,South,facebook,True,True,1,False,0
S00000027,U000483,2024-12-08 02:11:00,tablet,North,organic,True,False,0,False,0
S00000028,U000132,2024-11-22 09:57:00,desktop,Central,google,True,False,0,False,0
S00000029,U000252,2024-10-18 14:11:00,desktop,Central,organic,False,False,0,False,0
S00000030,U000338,2024-10-09 17:26:00,desktop,Central,google,False,True,1,True,1
S00000031,U000786,2024-12-10 12:03:00,desktop,East,organic,False,False,0,False,0
S00000032,U000659,2024-10-19 06:02:00,mobile,Central,email,True,True,3,False,0
S00000033,U000408,2024-10-01 02:12:00,desktop,Central,direct,True,True,1,True,2
S00000034,U000763,2024-11-14 14:20:00,mobile,East,facebook,True,False,0,False,0
S00000035,U000414,2024-11-26 17:46:00,tablet,East,direct,False,False,0,False,0
S00000036,U000407,2024-11-26 10:11:00,desktop,South,organic,False,True,2,True,2
S00000037,U000703,2024-11-27 17:27:00,mobile,North,organic,True,False,0,False,0
S00000038,U000389,2024-12-23 12:27:00,tablet,Central,facebook,True,True,2,True,2
S00000039,U000064,2024-11-25 17:58:00,mobile,North,google,True,True,2,True,1
S00000040,U000609,2024-12-28 21:58:00,mobile,North,organic,False,False,0,False,0
S00000041,U000770,2024-11-24 05:27:00,desktop,Central,facebook,False,False,0,False,0
S00000042,U000000,2024-12-13 09:18:00,tablet,Central,organic,True,False,0,False,0
S00000043,U000153,2024-12-04 16:39:00,mobile,East,google,False,True,1,True,2
S00000044,U000577,2024-10-05 16:47:00,desktop,West,direct,False,True,2,False,0
S00000045,U000248,2024-12-21 14:26:00,desktop,West,organic,True,False,0,False,0
S00000046,U000400,2024-11-20 16:04:00,mobile,West,organic,False,False,0,False,0
S00000047,U000751,2024-12-08 01:05:00,mobile,North,google,False,True,3,False,0
S00000048,U000194,2024-12-14 21:15:00,desktop,East,facebook,False,True,2,True,1
S00000049,U000404,2024-11-20 18:20:00,desktop,Central,google,True,True,2,True,2
S00000050,U000046,2024-11-03 16:13:00,desktop,East,direct,True,True,1,True,1
S00000051,U000691,2024-10-26 03:00:00,mobile,South,email,True,False,0,False,0
S00000052,U000006,2024-12-17 23:01:00,desktop,East,google,False,True,1,True,2
S00000053,U000713,2024-11-07 02:50:00,desktop,North,organic,True,True,2,True,2
S00000054,U000066,2024-11-13 16:12:00,desktop,South,organic,False,False,0,False,0
S00000055,U000424,2024-12-25 01:46:00,mobile,West,facebook,False,True,2,True,1
S00000056,U000709,2024-11-25 12:05:00,mobile,West,email,False,True,2,True,2
S00000057,U000039,2024-10-24 22:08:00,desktop,South,facebook,True,False,0,False,0
S00000058,U000573,2024-12-14 03:14:00,tablet,East,facebook,False,True,3,True,1
S00000059,U000723,2024-11-13 04:05:00,desktop,North,google,False,False,0,False,0
S00000060,U000258,2024-10-01 13:37:00,mobile,South,google,False,True,1,True,1
S00000061,U000320,2024-10-10 11:01:00,mobile,North,email,True,False,0,False,0
S00000062,U000094,2024-12-14 14:23:00,tablet,West,direct,False,False,0,False,0
S00000063,U000512,2024-12-17 20:55:00,desktop,West,email,False,True,3,True,1
S00000064,U000573,2024-10-14 02:20:00,mobile,Central,facebook,True,True,2,False,0
S00000065,U000636,2024-11-09 07:38:00,mobile,North,organic,False,False,0,False,0
